Название продукта;Цена;Изображение продукта;Ссылка на продукт
Лыжи беговые классические с камусом для взрослых XC S 150;7999.0;https://contents.mediadecathlon.com/p1507597/k4ed7bd04015cd1ac55be3806e0979ff8/1507597_default.jpg?format=auto&quality=60&f=200x0;https://www.decathlon.ru/lyzhi-xc-s-classic-150-skin-eu-id_8524773.html
Взрослые беговые лыжи для конькового хода SKATE 130+крепление Rottefella Step In;3999.0;https://contents.mediadecathlon.com/p1518462/k9130510b2fad656e645793239155d1fe/1518462_default.jpg?format=auto&quality=60&f=200x0;https://www.decathlon.ru/begovye-lyzhi-skate-130-vzr--id_8503094.html
Беговые лыжи с насечками для классического хода XC S 150 + крепление Rottefella;5999.0;https://contents.mediadecathlon.com/p1507575/k66c142638bbb037f61161c5508eb8069/1507575_default.jpg?format=auto&quality=60&f=200x0;https://www.decathlon.ru/begovye-lyzhi-150-vzr--id_8524771.html
Взрослые беговые лыжи для классического хода XC S 120;2799.0;https://contents.mediadecathlon.com/p1980391/kcd52317bf74799ba99e7b1460c4e1cb2/1980391_default.jpg?format=auto&quality=60&f=200x0;https://www.decathlon.ru/begovye-lyzhi-xc-s-ski-120--id_8652820.html
Взрослые беговые лыжи для конькового/классического хода COMBI 100 + крепление;2999.0;https://contents.mediadecathlon.com/p1518463/kd138c8d8e75241cb0fd5c150278aca50/1518463_default.jpg?format=auto&quality=60&f=200x0;https://www.decathlon.ru/lyzhi-sombi-100-vzr--id_8524846.html
Лыжи беговые д/классич. хода 550 с технолог. SKIN MEDIUM + крепление XCELERATOR;21999.0;https://contents.mediadecathlon.com/p1682051/k64700346c4d0f2c0f28a9ea128a30926/1682051_default.jpg?format=auto&quality=60&f=200x0;https://www.decathlon.ru/lyzhi-xc-s-ski-550-skin-medium-id_8557135.html
Лыжи для конькового хода 550 hard + крепление Rottefella Xcelerator;17999.0;https://contents.mediadecathlon.com/p1749851/ka621e821df1d5bf7751941536aac8b09/1749851_default.jpg?format=auto&quality=60&f=200x0;https://www.decathlon.ru/lyzhi-xc-s-skate-550-vzr--id_8557061.html
Беговые лыжи для классического хода AEROLITE 60 с креплением;13999.0;https://contents.mediadecathlon.com/p1980681/k7273f59b14872dcab5b2a4c5aef65d2f/1980681_default.jpg?format=auto&quality=60&f=200x0;https://www.decathlon.ru/begovye-lyzhi-aerolite-60-id_8618424.html
Лыжи XC S SKI 50;1999.0;https://contents.mediadecathlon.com/p1980343/k56bf43c805825975cf57bd227a20ee2f/1980343_default.jpg?format=auto&quality=60&f=200x0;https://www.decathlon.ru/xc-s-ski-50-id_8601654.html
Взрослые беговые лыжи для классического хода Xc s 130 ;2999.0;https://contents.mediadecathlon.com/p1507586/k6261ac239bb116c726b0be1f4b5352f1/1507586_default.jpg?format=auto&quality=60&f=200x0;https://www.decathlon.ru/begovye-lyzhi-xc-s-130-vzr-id_8503089.html
Лыжи беговые классические с насечками для взрослых XC S 150;5999.0;https://contents.mediadecathlon.com/p2024988/k3970d379566b955240e222ce22cedb07/2024988_default.jpg?format=auto&quality=60&f=200x0;https://www.decathlon.ru/lyzhi-xc-s-150-crown-id_8648167.html
Беговые лыжи д/конькового хода CARBONLITE SKATE PLUS + крепление RACE PRO SKATE;36999.0;https://contents.mediadecathlon.com/p2152621/k2123754fe4a939b62436b1e9350c0870/2152621_default.jpg?format=auto&quality=60&f=200x0;https://www.decathlon.ru/lyzhi-carbonlite-skate-plus-id_8674873.html
Беговые лыжи для конькового хода CRS SKATE RUSSIALOPPET;15999.0;https://contents.mediadecathlon.com/p1822311/kc8e4ae88d29a8baeadb3db2862cc72e3/1822311_default.jpg?format=auto&quality=60&f=200x0;https://www.decathlon.ru/begovye-lyzhi-crs-skate-id_8587527.html
Беговые лыжи для конькового хода XC S 900 SOFT + крепление Rottefella Xcelerator;24999.0;https://contents.mediadecathlon.com/p1682038/k75035a6501030adac1158fef3b9d2896/1682038_default.jpg?format=auto&quality=60&f=200x0;https://www.decathlon.ru/begovye-lyzhi-xc-skate-900-soft-id_8557053.html
Беговые лыжи для классического хода 900+креп.Rottefella Xcelerator MOVE/ HARD;28999.0;https://contents.mediadecathlon.com/p1682033/k63b9ac52259e02e3011a0dd4f675285e/1682033_default.jpg?format=auto&quality=60&f=200x0;https://www.decathlon.ru/begovye-lyzhi-xc-s-900-wax-hard-id_8557141.html
